url,product_name,product_code,sku,price,availability,product_quantity,description,status
https://globepestsolutions.com.au/weepa-protector-weep-hole-screen-pk20,Weepa Protector Weep Hole Screen (PK20),,,,Availability:In stockAdd to Wish List,,The Weepa Protector Weep Hole Screen (PK20) is a stylish weep hole insert designed for retrofitting into weep holes between 7mm and 17mm in width. Suitable for standard brick heights of 75mm with allo...,success
https://globepestsolutions.com.au/weepa-termite-protector-weep-hole-screen-pk20,Weepa Termite Protector Weep Hole Screen  (PK20),,,,Availability:In stockAdd to Wish List,,The Weepa Termite Protector Weep Hole Screen (PK20) is a new patented termite-resistant weep hole guard manufactured from bifenthrin infused plastic. Proven to deter termite entry through existing wee...,success
https://globepestsolutions.com.au/avisil-silicon-bird-spike-adhesive-310ml,Avisil Silicon Bird Spike Adhesive 310mL,,,,Availability:In stockAdd to Wish List,,"Avisil Silicon Bird Spike Adhesive is a unique clear adhesive to secure bird spikes onto building surfaces such as brick, concrete, stone, plaster, paint, stainless and galvanised steel, lead, copper,...",success
https://globepestsolutions.com.au/avifix-high-tack-bird-spike-adhesive,Avifix High Tack Bird Spike Adhesive,,,,Availability:In stockAdd to Wish List,,Avifix Adhesive for Bird Spikes is a specialist silicone neutral adhesive that can be used on damp surfaces designed for use with bird spikes on all usual building surfaces (including glass).Other sil...,success
https://globepestsolutions.com.au/avipoint-p20-wide-bird-spikes,Avipoint P20 Wide Bird Spikes,,,,Availability:In stockAdd to Wish List,,Avipoint P20 Wide Bird Spikes are made from high quality stainless steel spikes insert-moulded into UV stabilised polycarbonate base. Available by the metre.Avipoint P20 Wide Bird Spikes are designed ...,success
https://globepestsolutions.com.au/avipoint-p32-extra-wide-bird-spikes,Avipoint P32 Extra Wide Bird Spikes,,,,Availability:In stockAdd to Wish List,,Avipoint P32 Extra Wide Bird Spikes are made from high quality stainless steel spikes insert-moulded into UV stabilised polycarbonate base. Available by the metre.Avipoint P32 Extra Wide Bird Spikes a...,success
https://globepestsolutions.com.au/pco-bird-3-spike-15m,PCO Bird 3 Spike 15m,,,,Availability:In stockAdd to Wish List,,"Deter birds from specific areas with these professional, stainless steel bird deterrent spikes.There is 15m of bird spikes per box (30 x 50cm strips), with a 12.5cm top width span, reducing the area w...",success
https://globepestsolutions.com.au/scare-eye-balloon-bird-deterrent,,,,,,,,error: 404 Client Error: Not Found for url: https://globepestsolutions.com.au/scare-eye-balloon-bird-deterrent
https://globepestsolutions.com.au/scare-eye-balloon-bird-deterrent-3-pack,Scare Eye Balloon Bird Deterrent (3 Pack),,,,Availability:In stockAdd to Wish List,,"Keep pest birds at bay with the Scare-Eye Balloon, a proven and effective visual bird deterrent designed to frighten away nuisance birds from a wide range of environments. Whether you're protecting fr...",success
https://globepestsolutions.com.au/zipper-black-per-m,Zipper Black Per M,,,,Availability:In stockAdd to Wish List,,"Zipper installed directly on to bird netting to gain access to appliances such as light fixtures, AC/HVAC units, sprinklers etc.A single Pull Slider also required for each zip.",success
https://globepestsolutions.com.au/single-pull-slider-metal-for-zipper,Single Pull Slider Metal for Zipper,,,,Availability:In stockAdd to Wish List,,This is the pull slider fio the zipper. A zipper is required before installing the pull slider.,success
https://globepestsolutions.com.au/bird-free-optical-gel-15-pack,Bird Free Optical Gel Deterrent - 15 Pack,,,,Availability:In stockAdd to Wish List,,"Bird Free Optical Gel is a revolutionary bird repellent solution that consists of small, pre-loaded dishes filled with a firm, weather-resistant gel that is discreet and easy to install.Utilising a un...",success
https://globepestsolutions.com.au/bird-free-optical-gel-with-magnet-15-pack,Bird Free Optical Gel Deterrent with Magnet - 15  Pack,,,,Availability:In stockAdd to Wish List,,"Bird Free Optical Gel with Magnetic Base is a revolutionary bird repellent solution consisting of small, pre-loaded dishes with a magnetic base, filled with a firm, weather-resistant gel making it eas...",success
https://globepestsolutions.com.au/bird-free-sign-base-mounts-25-pack,Bird Free Sign Base Mounts (25 Pack),,,,Availability:In stockAdd to Wish List,,Bird Free Sign Base Mounts allow Bird Free Optical Gels to be securely fixed to thin material such as street and warning signs. These are supplied in bags of 25 mounts,success
https://globepestsolutions.com.au/bird-free-zip-tie-bases-100-pack,Bird Free Zip Tie Bases (100 Pack),,,,Availability:In stockAdd to Wish List,,"Bird Free Zip Tie Bases allow the gels to be securely fixed to almost any surface. They are the perfect solution for pipe work, tree branches, wire and cables and any other situation that is not flat....",success
https://globepestsolutions.com.au/b-g-1150-bulb-dust-r-insecticide-dust-applicator,B&G 1150 Bulb Dust-R Insecticide Dust Applicator,,,,Availability:In stockAdd to Wish List,,The B&G 1150 Bulb Dust-R Insecticide Dust Applicator is a hand duster that comes with 2 different sized tips to choose from when you apply insecticide dust in crevices and cracks.The B&G 1150 Bulb Dus...,success
https://globepestsolutions.com.au/b-g-n150-green-sprayer-5l,B&G N150 Green Sprayer 5L,,,,Availability:In stockAdd to Wish List,,"TheB&G N150 Green Sprayer 5Lis a high-performance spraying solution for pest control technicians looking for durability and precision in the field. Designed for use with natural products, common insec...",success
https://globepestsolutions.com.au/b-g-pf-267-pump-cylinder-5l-brass,B&G PF-267 Pump Cylinder 5L - Brass,,,,Availability:In stockAdd to Wish List,,B&G PF-267 Pump Cylinder 5L is a brass replacement part for B&G sprayers. Use this pump cylinder to replace a damaged cylinder and restore your sprayer pressure.,success
https://globepestsolutions.com.au/chilean-bee-veil-hood-string-type,Chilean Bee Veil Hood (String Type),,,,Availability:In stockAdd to Wish List,,This Chilean Bee Veil Hood (String Type) is a simple bee veil secured by a drawstring and is best combined with a King Gee-style overall with a collar to keep you protected on bee jobs.Simple design m...,success
https://globepestsolutions.com.au/birdwire-nylon-coated-100m,Bird Wire (Nylon Coated) 100m,,,,Availability:In stockAdd to Wish List,,Nylon Coated Bird Wire is a core component of the bird wire system.  The coated wire is suspended between bird wire posts to prevent large birds from landing. Bird wire is a low-profile bird deterrent...,success
https://globepestsolutions.com.au/bird-wire-nylon-coated-300m,Bird Wire (Nylon Coated) 300m,,,,Availability:In stockAdd to Wish List,,Nylon Coated Bird Wire is a core component of the bird wire system.  The coated wire is suspended between bird wire posts to prevent large birds from landing. Bird wire is a low-profile bird deterrent...,success
https://globepestsolutions.com.au/bird-post-stainless-steel-120mm-x-4mm-pk100,Bird Post Stainless Steel 120mm x 4mm (Pack of 100),,,,Availability:In stockAdd to Wish List,,Stainless steel bird posts are designed for use as part of a bird wire and post system to deter landing from feral pigeons.Key features and benefits of Stainless Steel Bird PostsComes in a pack of 100...,success
https://globepestsolutions.com.au/bird-post-stainless-steel-150mm-x-4mm-pk100,Bird Post Stainless Steel 150mm x 4mm (Pack of 100),,,,Availability:In stockAdd to Wish List,,Stainless steel bird posts are designed for use as part of a bird wire and post system to deter landing from feral pigeons.Key features and benefits of Stainless Steel Bird PostsComes in a pack of 100...,success
https://globepestsolutions.com.au/stick-on-plastic-base-grey-pk10,Stick on Plastic Base - Grey (PK10),,,,Availability:In stockAdd to Wish List,,"The Stick-on plastic bases support bird wire system and can be glued to any ledge surface. Posts that are 4mm are designed to be inserted into these Stick-on Bases.In order for the bases to be glued, ...",success
https://globepestsolutions.com.au/birdwire-standard-spring-stainless-steel-pk100,BirdWire Standard Spring Stainless Steel (Pack of 100),,,,Availability:In stockAdd to Wish List,,Bird wire Standard Spring is to be used for tensioning bird wire on the post and bird wire system. Standard Springs are installed at one end of each run of bird post and wire.Product specifications:Gu...,success
https://globepestsolutions.com.au/anchor-rivets-grey-25mm-pk100,Anchor Rivets Grey 25mm (PK100),,,,Availability:In stockAdd to Wish List,,Anchor Rivets are used with Split Pins to create an intermediate fixing for securing cable around the perimeter. They are also designed to hold Bird posts into drilled holes.Anchor Rivets should be ta...,success
https://globepestsolutions.com.au/bird-wire-crimps-nickel-plated-pk100,Bird Wire Crimps Nickel Plated (Pack of 100),,,,Availability:In stockAdd to Wish List,,"Bird wire crimps are used to secure the end of bird wire run. The bird wire is threaded through the crimp and then through the hole in the bird post, and back through the crimp.Product specifications:...",success
https://globepestsolutions.com.au/bird-wire-crimper-and-cutter-tool,Bird wire Crimper and Cutter Tool,,,,Availability:In stockAdd to Wish List,,A dual purpose easy to use tool designed for cutting bird wire and crimping the crimps. This multi-purpose tool is highly durable and high strength which is built to last.,success
https://globepestsolutions.com.au/bird-post-stainless-steel-95mm-x-4mm-pk100,Bird Post Stainless Steel 95mm x 4mm (Pack of 100),,,,Availability:In stockAdd to Wish List,,Stainless steel bird posts are designed for use as part of a bird wire and post system to deter landing from feral pigeons.Key features and benefits of Stainless Steel Bird PostsComes in a pack of 100...,success
https://globepestsolutions.com.au/beam-clamp-and-post-95mm-x-4mm-pk10,Beam Clamp and Post 95mm x 4mm (Pack of 10),,,,Availability:In stockAdd to Wish List,,Beam Clamp & Post is a tool designed for bird wire systems. Designed for clamping bird wire onto horizontal flanges of girders and beams. The Beam Clamp has a 21mm jaw which fits over flanges.These be...,success
https://globepestsolutions.com.au/bird-post-double-headed-130mm-x-4mm,Bird Post Double-Headed 130mm x 4mm,,,,Availability:In stockAdd to Wish List,,Larger sized bird posts for bird wire systems to protect against pigeons. The double headed bird post is designed for medium pressure infestation. These posts can be installed by knocking them intoAnc...,success
https://globepestsolutions.com.au/bird-post-double-headed-150mm-x-4mm-pk100,Bird Post Double-Headed 150mm x 4mm (Pack of 100),,,,Availability:In stockAdd to Wish List,,Bird posts for bird wire systems to protect against pigeons. The double headed bird post is designed for horizontal installations. The 150mm x 4mm Double-Headed post is ideal for use over smaller deli...,success
https://globepestsolutions.com.au/bird-post-stainless-steel-125mm-x-4mm-pk100,Bird Post Stainless Steel 125mm x 4mm (Pack of 100),,,,Availability:In stockAdd to Wish List,,Stainless steel bird posts are designed for use as part of a bird wire and post system to deter landing from feral pigeons.Key features and benefits of Stainless Steel Bird PostsComes in a pack of 100...,success
https://globepestsolutions.com.au/birdwire-micro-spring-pk100,BirdWire Micro Spring (Pack of 100),,,,Availability:In stockAdd to Wish List,,Bird wire Micro Spring is to be used for tensioning bird wire on the post and bird wire system. Micro Springs are installed at one end of each run of bird post and wire.Product specifications:Guage = ...,success
https://globepestsolutions.com.au/anthem-insecticide-granules,Anthem Insecticide Granules,,,,Availability:In stockAdd to Wish List,,"Anthem Insecticide Granule contains 0.5g/kg of Fipronil and is used for the control of Argentine stem weevil, mole crickets and ants in commercial and recreational turf and control of ants in external...",success
https://globepestsolutions.com.au/aqua-k-othrine-insecticide-space-spray-concentrate,Aqua-K-Othrine Insecticide Space-Spray Concentrate,,,,Availability:In stockAdd to Wish List,,"Aqua K-Othrine is a pyrethroid based insecticide concentrate for use as a space-spray for the control of adult mosquitoes, flies, stored product pests and American and German Cockroaches.Aqua K-Othrin...",success
https://globepestsolutions.com.au/biforce-granular-insecticide,Biforce Granular Insecticide,,,,Availability:In stockAdd to Wish List,,"Biforce Granular Insecticide is a convenient, ready to use contact residual granular insecticide for external control of ants, fleas and ticks in areas such as gardens, lawns, around BBQs and other ex...",success
https://globepestsolutions.com.au/biflex-aqua-max-insecticide-and-termiticide,Biflex Aqua Max Insecticide and Termiticide,,,,Availability:In stockAdd to Wish List,,"Biflex AquaMax is the first ever Professional Strength, multi-insecticide and termiticide. Effective on a wide range of common household pests and all termite species in Australia. The unique water ba...",success
https://globepestsolutions.com.au/biflex-mikron-insecticide,Biflex Mikron Insecticide,,,,Availability:In stockAdd to Wish List,,Biflex Mikron Insecticide provides lightning fast control and enduring residual protection from the powerful combination of two active ingredients in a cutting-edge microemulsion formulation. The uniq...,success
https://globepestsolutions.com.au/biforce-200sc-termiticide-and-insecticide,Biforce 200SC Termiticide and Insecticide,,,,Availability:In stockAdd to Wish List,,"Biforce 200SC Termiticide & Insecticide is a professional strength water-based termiticide designed specifically for pre and post construction management of termites in, around and under buildings and...",success
https://globepestsolutions.com.au/biforce-100sc-termiticide-and-insecticide,Biforce 100SC Termiticide and Insecticide,,,,Availability:In stockAdd to Wish List,,Biforce 100SC Termiticide & Insecticide is a water-based termiticide for pre and post construction management of termites inside and out and for general perimeter application of most crawling insects....,success
https://globepestsolutions.com.au/bioplus-biological-multi-purpose-cleaner-deodoriser-1l,BioPlus Biological Multi-Purpose Cleaner & Deodoriser 1L,,,,Availability:In stockAdd to Wish List,,"BioPlus Biological Cleaner is an advanced biological cleaning solution designed to tackle organic waste, dangerous bacteria, and unpleasant odours. This versatile, multi-purpose cleaner is perfect for...",success
https://globepestsolutions.com.au/boracol-100rh-building-materials-fungicide-20l,Boracol 100RH Building Materials Fungicide 20L,,,,Availability:In stockAdd to Wish List,,"Boracol 100RH Building Materials Fungicide is specially formulated for the management and prevention of mould, algae, fungus, lichen and moss on timber, stone, concrete, bricks and other porous masonr...",success
https://globepestsolutions.com.au/clear-out-plus-igr-dust-insecticide,Clear Out Plus IGR Dust Insecticide 8kg Bucket,,,,Availability:In stockAdd to Wish List,,ClearOut Plus IGR Dust Insecticide is a dual active dustable powder containing Permethrin and Pyriproxyfen for the control of adult and juvenile insects.ClearOut Plus IGR Dust Insecticide is formulate...,success
https://globepestsolutions.com.au/coopex-dust-insecticidal-dusting-powder,Coopex Dust Insecticidal Dusting Powder,,,,Availability:In stockAdd to Wish List,,"Coopex Dust Insecticidal Dusting Powder is a ready to use broad spectrum insecticide, registered for the control of cockroaches, ants, fleas, silverfish and bed bugs in and around domestic and industr...",success
https://globepestsolutions.com.au/detex-blox-with-lumitrack-rodent-monitoring-bait,Detex Blox with Lumitrack Rodent Monitoring Bait,,,,Availability:In stockAdd to Wish List,,DETEX with Lumitrack is a non-toxic rodent monitoring bait with a special additive that makes rodent droppings glow bright green under black light.DETEX with Lumitrack continues to be an indispensable...,success
https://globepestsolutions.com.au/ditrac-pellets-rodenticide,Ditrac Pellets Rodenticide 10kg,,,,Availability:In stockAdd to Wish List,,"Ditrac Rodenticide is an all-weather, single-dose, anticoagulant rodenticide in pellet form. Ditrac pellets are highly palatable for the control of rats and mice. Ditrac Rodenticide contains the power...",success
https://globepestsolutions.com.au/dragnet-dust-insecticidal-powder,Dragnet Dust Insecticidal Powder,,,,Availability:In stockAdd to Wish List,,"Dragnet Dust Insecticidal Powder is a 2% permethrin, broad-spectrum insecticide dust designed to reach into limited access areas. Its super-fine formulation gives excellent coverage and spread.Dragnet...",success
https://globepestsolutions.com.au/fipforce-hp-insecticide-and-termiticide-cfiphp-5,Fipforce HP Insecticide and Termiticide 5L,,,,Availability:In stockAdd to Wish List,,"Fipforce HP is a professional strength, highly effective, odourless, non-repellent insecticide providing long lasting control of termites. Fipforce HP is registered for the protection of structures fr...",success
https://globepestsolutions.com.au/fury-120-sc-insecticide-1l,Fury 120 SC Insecticide 1L,,,,Availability:In stockAdd to Wish List,,Fury 120 SC is a water based suspension concentrate (SC) formulation containing two well-known synthetic pyrethroids; bifenthrin (80g/L) and alpha-cypermethrin (40 g/L).Fury is formulated for the knoc...,success
https://globepestsolutions.com.au/maxforce-quantum-liquid-ant-bait-3-x-30g,Maxforce Quantum Liquid Ant Bait (3 x 30g Pack),,,,Availability:In stockAdd to Wish List,,"Maxforce Quantum Liquid Ant Bait is a viscous liquid ant bait containing active ingredient0.3g/L Imidacloprid. Ants take the bait back to the nest where the active ingredients kills the queen, workers...",success
https://globepestsolutions.com.au/racumin-mouse-and-rat-wax-blocks,Racumin Mouse and Rat Wax Blocks,,,,Availability:In stockAdd to Wish List,,Racumin Mouse and Rat Blocks are ready to use. It is an economical anticoagulant product which requires repeated feeding over several days by the rodents to achieve control. In this way rodents do not...,success
https://globepestsolutions.com.au/starycide-insect-growth-regulator-igr,,,,,,,,error: 404 Client Error: Not Found for url: https://globepestsolutions.com.au/starycide-insect-growth-regulator-igr
https://globepestsolutions.com.au/starrdust-pro-insecticidal-dust,Starrdust PRO Insecticidal Dust,,,,Availability:In stockAdd to Wish ListOnly%1left,,"Starrdust PRO is a ready-to-use, broad spectrum insecticide with a unique formulation. It controls a wide range of insect pests including cockroaches, silverfish, spiders, ants, fleas, carpet beetles,...",success
https://globepestsolutions.com.au/storm-soft-bait-rodenticide-5kg,Storm Soft Bait Rodenticide 5kg,,,,Availability:In stockAdd to Wish List,,"Storm® Soft Bait Rodenticide has been developed into a unique, high oil content, soft bait formulation for unsurpassed efficacy even in the most difficult to control situations. Unlike other soft bait...",success
https://globepestsolutions.com.au/storm-secure-wax-block-rodenticide,Storm Secure Wax Block Rodenticide 8kg,,,,Availability:In stockAdd to Wish List,,"Storm Secure is a second generation anticoagulant rodenticide. Only a very small amount is needed to kill a rat or mouse, and a lethal dose can be eaten in a single feed, providing fast and reliable c...",success
https://globepestsolutions.com.au/talon-xt-pro-rodenticide-wax-blocks-10kg,Talon XT PRO Rodenticide Wax Blocks 10kg,,,,Availability:In stockAdd to Wish List,,"Talon XT Pro Rodenticide Wax Blocks are a durable and effective rodenticide that sets the benchmark for rodent control, offering unparalleled performance against rats and mice in both damp and dry con...",success
https://globepestsolutions.com.au/talon-gt-pro-rodenticide-grain-block,Talon GT Pro Rodenticide Grain Block,,,,Availability:In stockAdd to Wish List,,Talon GT Pro Rodenticide Grain Bait Block is a single-feed rodenticide featuring the active ingredient brodifacoum.Talon® GT Pro Rodenticide Grain Bait Block is the latest innovation in the trusted Ta...,success
